,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Permits without CofO ,447,Issued,5.0,,1.0,2017-06-07 12:07:00,10473 W WYTON DR,1 or 2 Family Dwelling,Building,17014-30000-01303,Bldg-Addition,,818.0,"Supplemental To Permit #16016-30000-05903 To Revise The Description To""Enclose (E)Carport To Convert To Garage.  Convert (E)Garage Into Adu Per Ab 2299 & Sb 1069"".  Add 21'-4"" X 23' Irreg. Shaped 1st Floor Extention To Connect Adu/Garage & 27'-2"" X 17'-4"" 2nd Floor Addition To Adu.
",90024.0,1.0
Permits without CofO ,477,Issued,15.0,,1.0,2017-07-06 08:53:00,1048 N WILMINGTON BLVD,1 or 2 Family Dwelling,Building,17016-10000-16186,Bldg-Alter/Repair,,1296.0,Convert Existing Garage With Storage Area Into New Adu Per Ab 2299 And Sb 1069. ( See Comments . ),90744.0,1.0
Applications Submitted,406,PC Info Complete,9.0,,1.0,,1049-1049 1/2 W 62ND ST,1 or 2 Family Dwelling,Building,15016-70000-02784,Bldg-Alter/Repair,2015-02-06 00:00:00,0.0,"Proposed Conversion Of (E) 2-Story Sfd (3174 Sq Ft) Into Duplex Consisting Of (1st Unit: 3 Bedroom, 2 Bathroom); And (2nd Unit: 4 Bedrooms, 2 Bathrooms).",90044.0,1.0
Permits with CofO,304,CofO Issued,6.0,2009-12-07 08:05:00,1.0,2008-04-25 16:40:00,10509 W CROCKETT ST,1 or 2 Family Dwelling,Building,08010-20000-00304,Bldg-New,,639.0,Proposed Second Dwelling Unit Per Ab1866;  All Work Per Type V Sheet.,91352.0,1.0
Permits with CofO,294,CofO Issued,6.0,2009-09-22 10:34:00,1.0,2008-07-23 15:51:00,10510 W CROCKETT ST,1 or 2 Family Dwelling,Building,08014-20000-02174,Bldg-Addition,,640.0,"Convert Portion Of (E) Garage/Work-Shop/Storage Rm. To New Second Dwelling Unit Max. Flr. Area 640 S.F.  ((Per Type V Sheet & Stand. Details)).
",91352.0,1.0
Permits with CofO,655,CofO Issued,8.0,2015-06-09 09:46:00,1.0,2015-02-09 15:12:00,10515 S CLOVIS AVE,1 or 2 Family Dwelling,Building,14010-70000-02214,Bldg-New,,946.0,New 2-Story Sfd.  Fully Sprinklered With Nfpa-13d.  Proposed 2nd Dwelling Unit In R1 Zone Per Za Memorandum No. 120.,90002.0,1.0
Permits without CofO ,309,Issued,12.0,,1.0,2016-10-07 09:06:00,10517 N SHOSHONE AVE,1 or 2 Family Dwelling,Building,15014-20000-02260,Bldg-Addition,,1140.0,40' X 30' Irregular Shaped Addition To Garage And Covered Patio And Convert To Second Dwelling Unit Per Ordinance 184510; Remove 4' X 20' Portion Of Garage; All Work Per Wfpp,91344.0,1.0
Permits with CofO,948,Permit Finaled,7.0,,1.0,2004-06-15 00:00:00,10519 N EL DORADO AVE,1 or 2 Family Dwelling,Building,04014-20000-04729,Bldg-Addition,,540.0,New Sfd W/ Attached 2-Car Carport Per Ab 1866:  Convert (E) Detached Garage To Sfd And Add 10' X 16' To Rear Creating A 540 S.F. Sfd.  Add 18' X 18' Two-Car Carport To The Rear.  All Work To Be Per Type V Sheet.  Comply With Code Enforcement Order Eff Date 11/11/2003 - Permit Will Expire 30 Days From Issuance Date.,91331.0,1.0
Permits with CofO,697,CofO Issued,7.0,2015-10-05 15:39:00,1.0,2014-04-29 11:15:00,10521 1/2 N SAMOA AVE,1 or 2 Family Dwelling,Building,14010-20000-00385,Bldg-New,,497.0,(N) 1-Story 2nd Dwelling Unit Per Za Memorandum 120,91042.0,1.0
Permits with CofO,116,CofO Issued,6.0,2007-04-12 16:13:00,1.0,2006-11-15 00:00:00,10522 W CANTARA ST,1 or 2 Family Dwelling,Building,06010-20000-02501,Bldg-New,,640.0,New 2nd Dwlg. 640 S.F.  Per Ab 1866 Per Type V.,91352.0,1.0
Applications Submitted,102,Corrections Issued,2.0,,,,10525 W CANTARA ST,1 or 2 Family Dwelling,Building,07010-20000-02078,Bldg-New,2007-05-16 00:00:00,,"New 2nd Dwlg - Per Ab 1866,  Max.  Floor Area 640 S.F.  ((The Permit Will Expire 30-Days
From Issuance Date)) Per Type V.",91352.0,1.0
Permits with CofO,31,CofO Issued,7.0,2006-02-21 14:15:00,1.0,2005-06-08 00:00:00,10529 N KEWEN AVE,1 or 2 Family Dwelling,Building,05010-20000-00855,Bldg-New,,640.0,"Proposed 49'-0""X24'-8"" Second Dwelling (R-3 Occupancy: 640 Sq. Ft.) With Attached 2-Car Garage (U-1 Occupancy: 480 Sq. Ft.) Pursuant To Ab 1866.  All Work Per Engineered Plans.",91331.0,1.0
Permits with CofO,119,CofO Issued,11.0,2007-05-22 11:39:00,1.0,2006-05-08 00:00:00,1053 E VICTORIA AVE,1 or 2 Family Dwelling,Building,06010-30000-01298,Bldg-New,,2800.0,Addition Of New Sfd W/ Garage And Recreation Room For 2nd Dwelling On A Lot.,90291.0,1.0
Permits with CofO,244,CofO Issued,7.0,2009-01-06 07:48:00,1.0,2005-05-24 00:00:00,10530 REMICK AVE,1 or 2 Family Dwelling,Building,05010-20000-02175,Bldg-Addition,,584.0,"Sfd Addition To (E) Detached Garage Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Kitchen, And Living Room.  All Work To Be Per Type V Sheet.",91331.0,1.0
Permits without CofO ,135,Issued,2.0,,1.0,2013-10-29 08:28:00,10530-10532 W CANTARA ST,1 or 2 Family Dwelling,Building,13010-20000-02927,Bldg-New,,1374.0,(N) 31'X66' Irregular One Story Second Dwelling Unit Per Za Memorandum # 120.,91352.0,1.0
Permits with CofO,85,CofO Issued,6.0,2006-10-03 10:57:00,1.0,2006-02-17 00:00:00,10532 W CROCKETT ST,1 or 2 Family Dwelling,Building,05014-20000-12489,Bldg-Addition,,640.0,Remove Portion Of Garage And Convert Remaining Portion To Second Dwelling Per Ab 1866. Add 2-Car Carport . One Open Parking Provided. ,91352.0,1.0
Permits with CofO,804,CofO Issued,7.0,2016-09-20 15:41:00,1.0,2015-12-07 11:39:00,10533 N EL DORADO AVE,1 or 2 Family Dwelling,Building,14010-20000-02677,Bldg-New,,1200.0,One-Story Second Dwelling Unit Per Za 120 [3 Bedrooms & 2 Bathrooms] At Rear Of Lot.  Includes Attached 2-Car Gargae.,91331.0,1.0
Permits with CofO,814,CofO Issued,7.0,2016-10-03 11:17:00,1.0,2015-10-19 10:38:00,10538 1/2 N JARDINE AVE,1 or 2 Family Dwelling,Building,15010-20000-01579,Bldg-New,,928.0,"Propose Irregular (N) 39'X28'-6"" One Story Second Dwelling (Per Za Memo #120) With One Standard Open Parking",91040.0,1.0
Applications Submitted,680,Reviewed by Supervisor,7.0,,1.0,,10538 N WILSEY AVE,1 or 2 Family Dwelling,Building,17010-10000-02280,Bldg-New,2017-06-13 00:00:00,1200.0,New 1200 Sf Two Story Adu At Rear Of Existing Residence,91042.0,1.0
Permits with CofO,967,CofO Superseded,7.0,,1.0,2005-01-28 00:00:00,10539 N REMICK AVE,1 or 2 Family Dwelling,Building,05010-20000-00238,Bldg-Addition,,640.0,"Convert (E) Carport To 2nd Sfd Per Ab 1866 And Attached Carport.  Sfd Will Consist Of 2 Bedrooms, Living/Dining Room, Kitchen, And Bathroom.  All Work To Be Per Type V Sheet.",91331.0,1.0
Applications Submitted,573,Reviewed by Supervisor,9.0,,,,1054 W 45TH ST,1 or 2 Family Dwelling,Building,17016-10000-01585,Bldg-Alter/Repair,2017-01-24 00:00:00,,Convert (E) Garage To Adu Per Ab2299 And Sb1069,90037.0,1.0
Permits without CofO ,347,Issued,7.0,,1.0,2016-12-20 14:51:00,10542 N TINKER AVE,1 or 2 Family Dwelling,Building,15010-20000-02259,Bldg-New,,608.0,"New Irr. 33'-5"" X 20'-0"" Second Dwelling Unit With Attached Two-Car Garage Per Ordinance 184510. Nfpa-13d Fire Sprinklers Throughout.",91042.0,1.0
Permits with CofO,56,CofO Issued,7.0,2006-06-21 10:59:00,1.0,2005-09-30 00:00:00,10545 N REMICK AVE,1 or 2 Family Dwelling,Building,05010-20000-04780,Bldg-New,,640.0,"New 2nd Dwlg Unit Per Ab 1866(22'10"" X 30'4"")  & Attached Carport(18' X 18').",91331.0,1.0
Permits with CofO,202,CofO Issued,7.0,2008-07-17 08:01:00,1.0,2004-10-26 00:00:00,10549 N TAMARACK AVE,1 or 2 Family Dwelling,Building,04010-20000-04631,Bldg-Addition,,637.0,"New 22' 9"" X 28' Second Dwelling Added To Existing Detached Carport. Constructiion Per Type V Sheet. Comply With Dept Order Effective 01/01/2004. Permit Will Expire 30 Days From The Date Of Issuance.",91331.0,1.0
Applications Submitted,657,Reviewed by Supervisor,12.0,,1.0,,10551 N BLUCHER AVE,1 or 2 Family Dwelling,Building,17010-20000-01969,Bldg-New,2017-05-19 00:00:00,901.0,(N) Adu Per Ab2299 And Sb1069,91344.0,1.0
Permits without CofO ,73,Permit Expired,7.0,,1.0,2009-08-28 16:25:00,10556 N TELFAIR AVE,1 or 2 Family Dwelling,Building,08010-10000-01728,Bldg-New,,640.0,New 2nd Unit (Granny Unit Per Ab1866)  640 Sq  W/ Attached 2 Car Garage  (500 Sq) And One Open Parking Stall ,91331.0,1.0
Applications Submitted,503,Verifications in Progress,5.0,,,,10558 W FONTENELLE WAY,1 or 2 Family Dwelling,Building,16010-10000-02159,Bldg-New,2016-05-20 00:00:00,1540.0,New 2-Story Second Dwelling Unit Per Ord 184510.,90077.0,1.0
Applications Submitted,442,Plans on Hold,7.0,,,,10566 N EL DORADO AVE,1 or 2 Family Dwelling,Building,15014-20000-03607,Bldg-Addition,2015-08-06 00:00:00,,New Second Unit 483 Sq Ft,91331.0,1.0
Permits with CofO,160,CofO Issued,10.0,2008-01-28 12:00:00,1.0,2007-02-05 00:00:00,1057 S VICTORIA AVE,1 or 2 Family Dwelling,Building,06016-10000-24357,Bldg-Alter/Repair,,0.0,"Interior Remodel Of Single Family Dwelling To Create 2nd Unit In R1 Zone Per Ab 1866.  (N) Interior, Non-Bearing Partition.",90019.0,1.0
Permits without CofO ,33,CofO in Progress,7.0,,1.0,2007-01-17 00:00:00,10571 N TAMARACK AVE,1 or 2 Family Dwelling,Building,06010-20000-01869,Bldg-New,,637.0,New S.F.D. (2nd Dwelling On The Lot Per Ab 1866),91331.0,1.0
Permits with CofO,1014,Permit Finaled,7.0,,,2010-09-14 09:23:00,10573 N TAMARACK AVE,1 or 2 Family Dwelling,Building,10014-20000-02958,Bldg-Addition,,230.0,Complete Work Under 06010-20000-01869 @ 50% Complete Per Inspector'S Order And Add 10' X 22' To Attach And Convert 2nd Dwelling Unit As Part Of (E) Front Unit. Comply With Department Order Effective Dates 4/7/09 And 8/7/09. Permit Will Expire 30 Days From Issuance Dates.,91331.0,1.0
Applications Submitted,513,Reviewed by Supervisor,7.0,,1.0,,10585 N TELFAIR AVE,1 or 2 Family Dwelling,Building,16016-20000-22911,Bldg-Alter/Repair,2016-09-26 00:00:00,620.0,"Convert (E) 31'X 20' Det. Garage To 22'X 20' 2nd Dwelling Unit Per Ord. 184510 And 9'X 20' Storage Attached To New 2nd Dwelling Unit.

A Separate Permit From Plumbing Division Is Required For Fire Sprinkler",91331.0,1.0
Permits with CofO,46,CofO Issued,7.0,2006-05-08 11:20:00,1.0,2005-05-26 00:00:00,10589 N TAMARACK AVE,1 or 2 Family Dwelling,Building,05010-20000-02249,Bldg-New,,588.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.",91331.0,1.0
Applications Submitted,597,Verifications in Progress,5.0,,1.0,,10600 W ESTHER AVE,1 or 2 Family Dwelling,Building,17010-10000-00634,Bldg-New,2017-02-17 00:00:00,1161.0,(N) Adu Over 3 Car Garage.  1 Of 2,90064.0,1.0
Permits with CofO,717,CofO Issued,7.0,2015-12-21 15:53:00,,2014-01-09 11:02:00,10605 1/2 N NASSAU AVE,1 or 2 Family Dwelling,Building,14014-20000-00011,Bldg-Addition,,246.0,"Propose 10'6"" X 23'5"" Addition To The South Side Of (E) Detached 2nd Unit (1941st95320) For (N) Powder Room And Living Room Expansion.   See Comment.",91040.0,1.0
Permits with CofO,1055,CofO Corrected,12.0,,1.0,2013-07-26 10:09:00,10606 N VARIEL AVE,1 or 2 Family Dwelling,Building,13016-20000-04608,Bldg-Alter/Repair,,4697.0,"Convert (E) 831 Sf  ( 35'  X  23' 3"")  Accessory  Living Quarters Into A  Second   Dwelling.  Convert  Portion  Of  The  Building  Into  A  Second  Dwelling  Pursuant  To  Ab 1866  And  Za Memo 120.   Convert  Sfd  Into  A  Duplex",91311.0,1.0
Permits with CofO,1025,CofO Corrected,15.0,,1.0,2011-04-11 10:33:00,10609 S HICKORY ST,1 or 2 Family Dwelling,Building,11010-10000-00465,Bldg-New,,995.0,"New 1-Story Single Family Dwelling (995 Sf)  With Attached 2-Car Garage (400 Sf), Per Za Memorandum No. 120 (Ab 1866).",90002.0,1.0
Permits with CofO,233,CofO Issued,6.0,2008-10-28 14:03:00,1.0,2007-03-16 00:00:00,10615 1/2 W CROCKETT ST,1 or 2 Family Dwelling,Building,07010-20000-00601,Bldg-New,,638.0,Second Dwelling Unit 638 S.F. & 9'X18' Att. Carport.  ((Per Type V)),91352.0,1.0
Permits with CofO,838,CofO Issued,12.0,2016-12-07 09:14:00,1.0,2012-09-18 14:17:00,10616-10618 N VARIEL AVE,1 or 2 Family Dwelling,Building,12014-20000-02234,Bldg-Addition,,1190.0,"Interior Remodeling And 634 Sf Bedroom, Laundry Room Addition To The Rear Of (E) Sfd.  Add 556 Sf Irregular Shape One Bed/Bath Room Attached 2nd Unit To The Rear Per Za-120. All Per Wfpp Details.
 
",91311.0,1.0
Permits with CofO,866,CofO Issued,2.0,2017-04-11 08:58:00,1.0,2014-09-18 12:39:00,10619 W CROCKETT ST,1 or 2 Family Dwelling,Building,14014-20000-01965,Bldg-Addition,,728.5,"Add 23'3"" X 17'2"" Irregular Shape Area To (E) Detached Garage And Convert Entire Building To New 2nd Unit Per Za-120.",91352.0,1.0
Permits with CofO,540,CofO Issued,6.0,2014-02-27 15:22:00,1.0,2007-06-22 00:00:00,10623 1/2 W CROCKETT ST,1 or 2 Family Dwelling,Building,07010-20000-01189,Bldg-New,,640.0,"New 29'-6""X 25' 2nd Dwelling Per Ab 1866.  All Work Shall Comply With The Type ""V"" Sheet.  ***Plans Need To Be Revised So The Floor Area Does Not Exceed 640sf***",91352.0,1.0
Permits with CofO,240,CofO Issued,6.0,2008-12-04 09:31:00,0.0,2007-10-01 10:18:00,10624 W ROSCOE BLVD,1 or 2 Family Dwelling,Building,07014-20000-06507,Bldg-Addition,,638.0,"1>Convert Recreation Room To Second Dwelling Unit Per State  Law Exception
2>Addition< 10ftx10ft>",91352.0,1.0
Permits with CofO,306,CofO Issued,6.0,2009-12-09 07:08:00,1.0,2006-11-01 00:00:00,10625 W CROCKETT ST,1 or 2 Family Dwelling,Building,06010-20000-02990,Bldg-New,,640.0,"23'6"" X 38' Irreg. Second Dwelling Unit, 640 Sf Per Ab-1866",91352.0,1.0
Permits with CofO,193,CofO Issued,12.0,2008-06-10 11:15:00,1.0,2007-09-27 08:58:00,10630 N LOUISE AVE,1 or 2 Family Dwelling,Building,07010-20000-02237,Bldg-New,,640.0,New One Story 16' X 40'  2nd Dwlg - Per Ab 1866.  Max 640 Sq Ft.,91344.0,1.0
Permits with CofO,484,CofO Issued,6.0,2013-07-12 08:02:00,1.0,2012-08-15 11:52:00,10633 W CROCKETT ST,1 or 2 Family Dwelling,Building,12010-20000-00792,Bldg-New,,1131.0,New One Story 30' X 40' Second Dwelling Unit Per Za Memorandum No 120.,91352.0,1.0
Applications Submitted,645,Reviewed by Supervisor,12.0,,0.0,,10636 N OWENSMOUTH AVE,1 or 2 Family Dwelling,Building,17014-10000-02004,Bldg-Addition,2017-05-03 00:00:00,,Convert  1  Story  30' X 60'  Garage Into An Adu Per Ab2299 And Sb1069 By Adding An Additional Story Within The (E) 24' High Bldg,91311.0,1.0
Permits with CofO,0,CofO Issued,6.0,2005-03-29 13:09:00,1.0,2004-10-29 00:00:00,10638 W ROSCOE BLVD,1 or 2 Family Dwelling,Building,04010-20000-04435,Bldg-New,,536.0,Second Dwelling Unit  (40' X 16')  Irreg. Shaped Sfd Per Type V Sheet. (One Open Pkg. Space).,91352.0,1.0
Permits without CofO ,20,Issued,6.0,,1.0,2005-08-02 00:00:00,10639 W CROCKETT ST,1 or 2 Family Dwelling,Building,05010-20000-02065,Bldg-New,,640.0,Second Dwelling Unit Per Ab1866 (640 Sq.Ft. Max),91352.0,1.0
Applications Submitted,556,Reviewed by Supervisor,5.0,,1.0,,10649 -2 W CAPELLO WAY,1 or 2 Family Dwelling,Building,16010-30000-04473,Bldg-New,2016-09-30 00:00:00,1198.0,New 2-Story With Basement Second Dwelling Unit Per Ordinance 184510,90077.0,1.0
Permits with CofO,173,CofO Issued,12.0,2008-03-14 14:10:00,1.0,2007-09-14 16:25:00,10658 N YARMOUTH AVE,1 or 2 Family Dwelling,Building,07010-20000-03615,Bldg-New,,498.0,"New 498 S.F. 1-Story 2nd Dwelling.  ""Per Type V.""",91344.0,1.0
Permits with CofO,258,CofO Issued,12.0,2009-02-20 14:36:00,1.0,2008-05-16 14:21:00,10664 N AMESTOY AVE,1 or 2 Family Dwelling,Building,08010-20000-00908,Bldg-New,,640.0,"Propose Second Dwelling Per Ab1866: One Story 45'-2""X30'-1"" Second Dwelling With Att 2 Car Garage",91344.0,1.0
Applications Submitted,544,Reviewed by Supervisor,7.0,,1.0,,10668 N SUTTER AVE,1 or 2 Family Dwelling,Building,16010-20000-04496,Bldg-New,2016-09-30 00:00:00,1166.0,"[Cugu Subject Use] Proposed New Second Dwelling Unit With 2-Car Garage Per Ordinance #184,510",91331.0,1.0
Applications Submitted,98,Corrections Issued,7.0,,1.0,,10669 N HADDON AVE,1 or 2 Family Dwelling,Building,07010-20000-01971,Bldg-New,2007-05-09 00:00:00,640.0,New 19' X 33.67' One Story 2nd Dwlg - Per Ab 1866.    640 Sq Ft Max.,91331.0,1.0
Permits with CofO,345,CofO Issued,6.0,2011-02-09 11:29:00,1.0,2005-11-14 00:00:00,10701 W CROCKETT ST,1 or 2 Family Dwelling,Building,05014-20000-03626,Bldg-Addition,,640.0,"Remove Existing 14' X 14' Bedroom And Add 23' 6"" X 27' 3"" Second Dwelling Unit With One Open Parking Per Ab 1866.",91352.0,1.0
Permits with CofO,640,CofO Issued,2.0,2015-03-25 16:17:00,1.0,2011-11-07 12:30:00,10701-10703 W ARTRUDE ST,1 or 2 Family Dwelling,Building,11014-20000-03084,Bldg-Addition,,3957.0,Remove Portion  Existing Attached 3-Car Garage (22 Sqft) And Convert Remaining Portion (621 Sqft) To Second Dwelling Unit Per Za Memorandum 120 Creating A Duplex.   Add 171 Sqft To The Second Dwg Unit For A Total Of 912 Sqft Secondr Dwg Unit.  Site Pkg Provided Under # 11016-20k-21977,91040.0,1.0
Permits with CofO,627,CofO Issued,2.0,2015-01-28 08:32:00,1.0,2014-09-30 16:24:00,10705 W WIXOM ST,1 or 2 Family Dwelling,Building,14010-20000-01061,Bldg-New,,1165.8,New 33' X 52' Second Dwelling With Attached Two(2) Car Garage Per Zi Memo 120(See Comments),91352.0,1.0
Permits without CofO ,40,Permit Expired,2.0,,1.0,2007-05-08 00:00:00,10706 W SHERMAN PL,1 or 2 Family Dwelling,Building,07016-20000-04141,Bldg-Alter/Repair,,0.0,"Convert 638sf Portion Of (E) Sfd To Create 2nd Dwelling Unit Per Ab1866, One Uncovered Standard Parking Space Provided For (N) 2nd Dwelling. ",91352.0,1.0
Applications Submitted,256,PC Info Complete,7.0,,1.0,,10710 N KEWEN AVE,1 or 2 Family Dwelling,Building,12014-20000-02685,Bldg-Addition,2012-07-30 00:00:00,930.0,Comply With Department Order Effective Date 06/29/2012. Permit Will Expire 30 Days From Issuance Date - Construct Addition  To (E) Detached Garage And Convert To Second Dwelling Unit Per Za-1022.  Add New Attached Carport Per City Standard.,91331.0,1.0
Permits without CofO ,396,Issued,2.0,,1.0,2017-03-31 15:15:00,10710 W KITTRIDGE ST,1 or 2 Family Dwelling,Building,16010-20000-04281,Bldg-Addition,,1448.0,"Add (N) 26'-8"" X 40'-0"" Fully Sprinklered Two Story Second Dwelling Unit To (E) Detached Garage Per Ordinance #184510. Irreg Shaped Building 44'-10"" X 40'-0""

",91606.0,1.0
Applications Submitted,128,Corrections Issued,2.0,,1.0,,10712 W CANTARA ST,1 or 2 Family Dwelling,Building,08016-20000-08864,Bldg-Alter/Repair,2008-05-27 00:00:00,640.0,Convert (E) Accessory Living Quarters To 2nd Dwelling Unit Per Ab1866 By Adding New Kitchen,91352.0,1.0
Permits with CofO,432,CofO Issued,2.0,2012-08-13 14:56:00,1.0,2012-03-23 09:44:00,10714 W COHASSET ST,1 or 2 Family Dwelling,Building,12014-20000-00595,Bldg-Addition,,1126.0,"Add A New Single Family Dwelling/Carport To Existing Garage. .""Second Dwelling Unit Per Za-120.""",91352.0,1.0
Applications Submitted,116,Verifications in Progress,2.0,,1.0,,10716 W CROCKETT ST,1 or 2 Family Dwelling,Building,07010-20000-04205,Bldg-New,2007-10-09 00:00:00,495.0,New 15'X 33' One Story Second Dwelling Unit Per A.B. 1866.,91352.0,1.0
Permits with CofO,247,CofO Issued,6.0,2009-01-09 13:58:00,1.0,2006-11-14 00:00:00,10717 1/2 W STAGG ST,1 or 2 Family Dwelling,Building,06010-20000-04069,Bldg-New,,638.0,Proposed One Story 2nd Dwlg Unit Per Ab 1866,91352.0,1.0
Permits without CofO ,23,Permit Expired,7.0,,1.0,2005-09-16 00:00:00,10717 N BURNET AVE,1 or 2 Family Dwelling,Building,04010-20000-04719,Bldg-New,,1430.0,"22' X 70'-6"" Storage Room & Attached Three Car Garage On 1st Floor.  22' X 29' 2nd Dwelling Per Ab1843 On 2nd Floor.",91345.0,1.0
Permits without CofO ,265,Issued,4.0,,1.0,2016-01-27 11:19:00,10717 W HORTENSE ST,1 or 2 Family Dwelling,Building,15010-20000-03696,Bldg-New,,1163.0,New Two Story 2nd Dwelling Unit (Per Za 120) With New 3-Car Garage & Open Deck_ Buiding Shall Be Fully Sprinkler With Nfpa 13d,91602.0,1.0
Permits with CofO,677,CofO Issued,7.0,2015-08-27 11:36:00,1.0,2013-07-10 14:18:00,10720 N AMBOY AVE,1 or 2 Family Dwelling,Building,13016-20000-09057,Bldg-Alter/Repair,,0.0,Enclose Rear Patio And Convert That Portion Of Sfd To Second Dwelling Unit [19'X20'] Per Za 120. Provide One New Open Parking Space.,91340.0,1.0
Applications Submitted,97,Corrections Issued,2.0,,1.0,,10721 W CROCKETT ST,1 or 2 Family Dwelling,Building,07016-20000-08116,Bldg-Alter/Repair,2007-05-03 00:00:00,,"Convert (E) Rec Room To New Sfd Per Ab 1866, Max Area 640 Sq Ft.",91352.0,1.0
Permits without CofO ,57,Permit Expired,6.0,,1.0,2008-05-07 11:13:00,10722 W PAWNEE ST,1 or 2 Family Dwelling,Building,08010-20000-00216,Bldg-New,,640.0,"(N) 28'-6""X31'-6"" One Story Second Dwelling Unit (640sf) Ab 1866",91352.0,1.0
Permits with CofO,1075,CofO Corrected,2.0,,1.0,2014-06-19 10:50:00,10722 W SATICOY ST,1 or 2 Family Dwelling,Building,14010-20000-01395,Bldg-New,,1200.0,"New Detached 2nd Dwlg. Unit Per Za Memorandum # 120. <<<The 2-Car Attached Garage Is Designated For (E) House, & An Open Pkg. Space Provide For 2nd Dwelling.>>>",91352.0,1.0
Permits with CofO,578,CofO Issued,2.0,2014-07-30 12:42:00,1.0,2013-09-17 10:36:00,10724 W SATICOY ST,1 or 2 Family Dwelling,Building,13010-20000-02570,Bldg-New,,1200.0,New 31' X 37' 2-Story Second Dwelling Unit With Attached Garage Per Za Memo 120. All Work Per Engineering,91352.0,1.0
Permits with CofO,19,CofO Issued,7.0,2005-11-17 12:27:00,1.0,2005-02-08 00:00:00,10725 N BURNET AVE,1 or 2 Family Dwelling,Building,05010-20000-00300,Bldg-New,,598.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, Kitchen, And Covered Porch.  All Work To Be Per Type V Sheet.",91345.0,1.0
